tanggal,harga
2020-09-23,18666.67
2020-09-24,17333.33
2020-09-25,18333.33
2020-09-26,18000.0
2020-09-27,18666.67
2020-09-28,18666.67
2020-09-29,19333.33
2020-09-30,20000.0
2020-10-01,24333.33
2020-10-02,25333.33
2020-10-03,26333.33
2020-10-04,27000.0
2020-10-05,28666.67
2020-10-06,28666.67
2020-10-07,28666.67
2020-10-08,29333.33
2020-10-09,28666.67
2020-10-10,28666.67
2020-10-11,28000.0
2020-10-12,28666.67
2020-10-13,25000.0
2020-10-14,26000.0
2020-10-15,22666.67
2020-10-16,19333.33
2020-10-17,20666.67
2020-10-18,21333.33
2020-10-19,19333.33
2020-10-20,21333.33
2020-10-21,20666.67
2020-10-22,18000.0
2020-10-23,18666.67
2020-10-24,20000.0
2020-10-25,23000.0
2020-10-26,27000.0
2020-10-27,29000.0
2020-10-28,29000.0
2020-10-29,27666.67
2020-10-30,29333.33
2020-10-31,28000.0
2020-11-01,28000.0
2020-11-02,28000.0
2020-11-03,29666.67
2020-11-04,29333.33
2020-11-05,27333.33
2020-11-06,28000.0
2020-11-07,25333.33
2020-11-08,26000.0
2020-11-09,26000.0
2020-11-10,24333.33
2020-11-11,24333.33
2020-11-12,23666.67
2020-11-13,23000.0
2020-11-14,24000.0
2020-11-15,24000.0
2020-11-16,28000.0
2020-11-17,28666.67
2020-11-18,29333.33
2020-11-19,31666.67
2020-11-20,28333.33
2020-11-21,29000.0
2020-11-22,29000.0
2020-11-23,32000.0
2020-11-24,30333.33
2020-11-25,30666.67
2020-11-26,30000.0
2020-11-27,32000.0
2020-11-28,32000.0
2020-11-29,38333.33
2020-11-30,38333.33
2020-12-01,38666.67
2020-12-02,38000.0
2020-12-03,38333.33
2020-12-04,42000.0
2020-12-05,45000.0
2020-12-06,49000.0
2020-12-07,50000.0
2020-12-08,48000.0
2020-12-09,48000.0
2020-12-10,48333.33
2020-12-11,48666.67
2020-12-12,51333.33
2020-12-13,50000.0
2020-12-14,50333.33
2020-12-15,49666.67
2020-12-16,51000.0
2020-12-17,53333.33
2020-12-18,52000.0
2020-12-19,53333.33
2020-12-20,50666.67
2020-12-21,52333.33
2020-12-22,50666.67
2020-12-23,50000.0
2020-12-24,50000.0
2020-12-25,44333.33
2020-12-26,46666.67
2020-12-27,43666.67
2020-12-28,41000.0
2020-12-29,39333.33
2020-12-30,39000.0
2020-12-31,36333.33
2021-01-01,37000.0
2021-01-02,43000.0
2021-01-03,42000.0
2021-01-04,34666.67
2021-01-05,35333.33
2021-01-06,32000.0
2021-01-07,27666.67
2021-01-08,27333.33
2021-01-09,27333.33
2021-01-10,26666.67
2021-01-11,25333.33
2021-01-12,24666.67
2021-01-13,29000.0
2021-01-14,29333.33
2021-01-15,35333.33
2021-01-16,35666.67
2021-01-17,35000.0
2021-01-18,32000.0
2021-01-19,32000.0
2021-01-20,32000.0
2021-01-21,31666.67
2021-01-22,31666.67
2021-01-23,31666.67
2021-01-24,31666.67
2021-01-25,29000.0
2021-01-26,30333.33
2021-01-27,31000.0
2021-01-28,32666.67
2021-01-29,31333.33
2021-01-30,32666.67
2021-01-31,33666.67
2021-02-01,45333.33
2021-02-02,47000.0
2021-02-03,51000.0
2021-02-04,51000.0
2021-02-05,51000.0
2021-02-06,51000.0
2021-02-07,45666.67
2021-02-08,44000.0
2021-02-09,44333.33
2021-02-10,42666.67
2021-02-11,41000.0
2021-02-12,34666.67
2021-02-13,35000.0
2021-02-14,35000.0
2021-02-15,32000.0
2021-02-16,30000.0
2021-02-17,29666.67
2021-02-18,27333.33
2021-02-19,26333.33
2021-02-20,27333.33
2021-02-21,30000.0
2021-02-22,34000.0
2021-02-23,38000.0
2021-02-24,38666.67
2021-02-25,40666.67
2021-02-26,38000.0
2021-02-27,36666.67
2021-02-28,38000.0
2021-03-01,38000.0
2021-03-02,38000.0
2021-03-03,38000.0
2021-03-04,38000.0
2021-03-05,37000.0
2021-03-06,36666.67
2021-03-07,35666.67
2021-03-08,33333.33
2021-03-09,33333.33
2021-03-10,33333.33
2021-03-11,32000.0
2021-03-12,30666.67
2021-03-13,29333.33
2021-03-14,29333.33
2021-03-15,29000.0
2021-03-16,30333.33
2021-03-17,30666.67
2021-03-18,29666.67
2021-03-19,29000.0
2021-03-20,29000.0
2021-03-21,29000.0
2021-03-22,34666.67
2021-03-23,35666.67
2021-03-24,37333.33
2021-03-25,36333.33
2021-03-26,40333.33
2021-03-27,43000.0
2021-03-28,43333.33
2021-03-29,44000.0
2021-03-30,44333.33
2021-03-31,44333.33
2021-04-01,44333.33
2021-04-02,44333.33
2021-04-03,45666.67
2021-04-04,46000.0
2021-04-05,45333.33
2021-04-06,45666.67
2021-04-07,45000.0
2021-04-08,45666.67
2021-04-09,45666.67
2021-04-10,44666.67
2021-04-11,44666.67
2021-04-12,45666.67
2021-04-13,45000.0
2021-04-14,47000.0
2021-04-15,47666.67
